"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"35",0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
"36",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"37",1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0
"38",1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0
"39",0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0
"40",1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"41",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
"42",0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0
"43",0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1
"44",0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0
"45",1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0
"46",1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0
"47",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1
"48",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
"49",1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
"50",0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0
"51",0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0
"52",1,1,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0
"53",1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0
"54",0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"55",0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"56",0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0
"57",0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
"58",0,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
"59",1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0
"60",0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0
"61",1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1
"62",0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0
"63",1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1
"64",1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1
"65",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"66",0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,0
"67",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"68",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
"69",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"70",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"71",0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,0
"72",0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0
"73",1,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,1
"74",0,1,0,1,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,1
"75",1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1
"76",1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0
"77",1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0
"78",0,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1
"79",1,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1
"80",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0
"81",1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0
"82",0,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1
"83",0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
"84",0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"85",0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"86",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
"87",0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1
"88",0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0
"89",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
"90",1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,0,1
"91",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"92",1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
"93",0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"94",1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
"95",0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0
"96",1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,1
"97",1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1
"98",1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
"99",0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,0
"100",1,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1
